message_id,channel_name,image_path,image_category
10,CheMed123,data\raw\images\CheMed123\10.jpg,other
11,CheMed123,data\raw\images\CheMed123\11.jpg,other
13,CheMed123,data\raw\images\CheMed123\13.jpg,other
14,CheMed123,data\raw\images\CheMed123\14.jpg,other
15,CheMed123,data\raw\images\CheMed123\15.jpg,other
17,CheMed123,data\raw\images\CheMed123\17.jpg,product_display
18,CheMed123,data\raw\images\CheMed123\18.jpg,other
19,CheMed123,data\raw\images\CheMed123\19.jpg,lifestyle
2,CheMed123,data\raw\images\CheMed123\2.jpg,product_display
20,CheMed123,data\raw\images\CheMed123\20.jpg,lifestyle
21,CheMed123,data\raw\images\CheMed123\21.jpg,other
22,CheMed123,data\raw\images\CheMed123\22.jpg,other
23,CheMed123,data\raw\images\CheMed123\23.jpg,other
25,CheMed123,data\raw\images\CheMed123\25.jpg,lifestyle
26,CheMed123,data\raw\images\CheMed123\26.jpg,promotional
27,CheMed123,data\raw\images\CheMed123\27.jpg,other
29,CheMed123,data\raw\images\CheMed123\29.jpg,lifestyle
3,CheMed123,data\raw\images\CheMed123\3.jpg,other
30,CheMed123,data\raw\images\CheMed123\30.jpg,lifestyle
31,CheMed123,data\raw\images\CheMed123\31.jpg,product_display
32,CheMed123,data\raw\images\CheMed123\32.jpg,lifestyle
33,CheMed123,data\raw\images\CheMed123\33.jpg,other
34,CheMed123,data\raw\images\CheMed123\34.jpg,other
38,CheMed123,data\raw\images\CheMed123\38.jpg,other
39,CheMed123,data\raw\images\CheMed123\39.jpg,other
4,CheMed123,data\raw\images\CheMed123\4.jpg,other
40,CheMed123,data\raw\images\CheMed123\40.jpg,lifestyle
41,CheMed123,data\raw\images\CheMed123\41.jpg,lifestyle
43,CheMed123,data\raw\images\CheMed123\43.jpg,lifestyle
44,CheMed123,data\raw\images\CheMed123\44.jpg,lifestyle
45,CheMed123,data\raw\images\CheMed123\45.jpg,other
46,CheMed123,data\raw\images\CheMed123\46.jpg,lifestyle
48,CheMed123,data\raw\images\CheMed123\48.jpg,other
49,CheMed123,data\raw\images\CheMed123\49.jpg,other
50,CheMed123,data\raw\images\CheMed123\50.jpg,other
52,CheMed123,data\raw\images\CheMed123\52.jpg,lifestyle
53,CheMed123,data\raw\images\CheMed123\53.jpg,lifestyle
55,CheMed123,data\raw\images\CheMed123\55.jpg,other
56,CheMed123,data\raw\images\CheMed123\56.jpg,lifestyle
57,CheMed123,data\raw\images\CheMed123\57.jpg,lifestyle
58,CheMed123,data\raw\images\CheMed123\58.jpg,product_display
59,CheMed123,data\raw\images\CheMed123\59.jpg,product_display
60,CheMed123,data\raw\images\CheMed123\60.jpg,other
64,CheMed123,data\raw\images\CheMed123\64.jpg,lifestyle
67,CheMed123,data\raw\images\CheMed123\67.jpg,other
70,CheMed123,data\raw\images\CheMed123\70.jpg,lifestyle
71,CheMed123,data\raw\images\CheMed123\71.jpg,lifestyle
74,CheMed123,data\raw\images\CheMed123\74.jpg,other
75,CheMed123,data\raw\images\CheMed123\75.jpg,lifestyle
76,CheMed123,data\raw\images\CheMed123\76.jpg,lifestyle
77,CheMed123,data\raw\images\CheMed123\77.jpg,product_display
78,CheMed123,data\raw\images\CheMed123\78.jpg,lifestyle
79,CheMed123,data\raw\images\CheMed123\79.jpg,other
80,CheMed123,data\raw\images\CheMed123\80.jpg,promotional
81,CheMed123,data\raw\images\CheMed123\81.jpg,product_display
82,CheMed123,data\raw\images\CheMed123\82.jpg,product_display
85,CheMed123,data\raw\images\CheMed123\85.jpg,other
86,CheMed123,data\raw\images\CheMed123\86.jpg,lifestyle
87,CheMed123,data\raw\images\CheMed123\87.jpg,other
88,CheMed123,data\raw\images\CheMed123\88.jpg,other
9,CheMed123,data\raw\images\CheMed123\9.jpg,product_display
90,CheMed123,data\raw\images\CheMed123\90.jpg,other
91,CheMed123,data\raw\images\CheMed123\91.jpg,other
92,CheMed123,data\raw\images\CheMed123\92.jpg,other
93,CheMed123,data\raw\images\CheMed123\93.jpg,lifestyle
94,CheMed123,data\raw\images\CheMed123\94.jpg,promotional
95,CheMed123,data\raw\images\CheMed123\95.jpg,lifestyle
96,CheMed123,data\raw\images\CheMed123\96.jpg,product_display
97,CheMed123,data\raw\images\CheMed123\97.jpg,other
492122,LobeliaCosmetics,data\raw\images\LobeliaCosmetics\492122.jpg,promotional
492123,LobeliaCosmetics,data\raw\images\LobeliaCosmetics\492123.jpg,product_display
492124,LobeliaCosmetics,data\raw\images\LobeliaCosmetics\492124.jpg,promotional
196070,TikvahPharma,data\raw\images\TikvahPharma\196070.jpg,other
196071,TikvahPharma,data\raw\images\TikvahPharma\196071.jpg,other
196072,TikvahPharma,data\raw\images\TikvahPharma\196072.jpg,lifestyle
196073,TikvahPharma,data\raw\images\TikvahPharma\196073.jpg,other
196078,TikvahPharma,data\raw\images\TikvahPharma\196078.jpg,other
196083,TikvahPharma,data\raw\images\TikvahPharma\196083.jpg,other
196084,TikvahPharma,data\raw\images\TikvahPharma\196084.jpg,other
196085,TikvahPharma,data\raw\images\TikvahPharma\196085.jpg,product_display
196086,TikvahPharma,data\raw\images\TikvahPharma\196086.jpg,product_display
196105,TikvahPharma,data\raw\images\TikvahPharma\196105.jpg,other
196108,TikvahPharma,data\raw\images\TikvahPharma\196108.jpg,other
196109,TikvahPharma,data\raw\images\TikvahPharma\196109.jpg,other
196111,TikvahPharma,data\raw\images\TikvahPharma\196111.jpg,other
196131,TikvahPharma,data\raw\images\TikvahPharma\196131.jpg,other
196132,TikvahPharma,data\raw\images\TikvahPharma\196132.jpg,other
196134,TikvahPharma,data\raw\images\TikvahPharma\196134.jpg,product_display
196141,TikvahPharma,data\raw\images\TikvahPharma\196141.jpg,lifestyle
196142,TikvahPharma,data\raw\images\TikvahPharma\196142.jpg,other
196157,TikvahPharma,data\raw\images\TikvahPharma\196157.jpg,product_display
196164,TikvahPharma,data\raw\images\TikvahPharma\196164.jpg,other
196165,TikvahPharma,data\raw\images\TikvahPharma\196165.jpg,other
196166,TikvahPharma,data\raw\images\TikvahPharma\196166.jpg,other
196167,TikvahPharma,data\raw\images\TikvahPharma\196167.jpg,other
196169,TikvahPharma,data\raw\images\TikvahPharma\196169.jpg,other
196170,TikvahPharma,data\raw\images\TikvahPharma\196170.jpg,other
196172,TikvahPharma,data\raw\images\TikvahPharma\196172.jpg,other
196177,TikvahPharma,data\raw\images\TikvahPharma\196177.jpg,lifestyle
196178,TikvahPharma,data\raw\images\TikvahPharma\196178.jpg,other
196181,TikvahPharma,data\raw\images\TikvahPharma\196181.jpg,other
196185,TikvahPharma,data\raw\images\TikvahPharma\196185.jpg,other
196189,TikvahPharma,data\raw\images\TikvahPharma\196189.jpg,other
196198,TikvahPharma,data\raw\images\TikvahPharma\196198.jpg,other
196199,TikvahPharma,data\raw\images\TikvahPharma\196199.jpg,other
196207,TikvahPharma,data\raw\images\TikvahPharma\196207.jpg,lifestyle
196211,TikvahPharma,data\raw\images\TikvahPharma\196211.jpg,product_display
196224,TikvahPharma,data\raw\images\TikvahPharma\196224.jpg,other
196225,TikvahPharma,data\raw\images\TikvahPharma\196225.jpg,other
196246,TikvahPharma,data\raw\images\TikvahPharma\196246.jpg,lifestyle
196247,TikvahPharma,data\raw\images\TikvahPharma\196247.jpg,other
196268,TikvahPharma,data\raw\images\TikvahPharma\196268.jpg,product_display
196269,TikvahPharma,data\raw\images\TikvahPharma\196269.jpg,other
196270,TikvahPharma,data\raw\images\TikvahPharma\196270.jpg,other
196271,TikvahPharma,data\raw\images\TikvahPharma\196271.jpg,other
196286,TikvahPharma,data\raw\images\TikvahPharma\196286.jpg,other
196288,TikvahPharma,data\raw\images\TikvahPharma\196288.jpg,product_display
196295,TikvahPharma,data\raw\images\TikvahPharma\196295.jpg,lifestyle
196310,TikvahPharma,data\raw\images\TikvahPharma\196310.jpg,other
196311,TikvahPharma,data\raw\images\TikvahPharma\196311.jpg,other
196312,TikvahPharma,data\raw\images\TikvahPharma\196312.jpg,other
196313,TikvahPharma,data\raw\images\TikvahPharma\196313.jpg,other
